LCCN	LCSH	Identifier	Name
sh87000662	Musi language	mui	Musi
sh99002916	Musom language	msu	Musom
sh85089145	Mutsun language	css	Southern Ohlone
sh85089155	Muyuw language	myw	Muyuw
sh92003278	Mwaghavul language	sur	Mwaghavul
sh85089165	Mwamba language	wbh	Wanda
sh91005993	Mwenyi language	sie	Simaa
sh85089321	Mysian language	yms	Mysian
sh86004730	Mzab language	mzb	Tumzabt
sh85089474	Nabak language	naf	Nabak
sh98007129	Nafaanra language	nfr	Nafaanra
sh2002005875	Nahu language	nca	Iyo
sh85010670	Nahuatl language	nah	Nahuatl languages
sh85089559	Nakanai language	nak	Nakanai
sh93006356	Nali language	nss	Nali
sh96008986	Nalik language	nal	Nalik
sh85089581	Nama language	naq	Nama (Namibia)
sh00007003	Namakura language	nmk	Namakura
sh93009494	Nambya language	nmq	Nambya
sh94004161	Namia language	nnm	Namia
sh85089661	Nanai language	gld	Nanai
sh85089665	Nancere language	nnc	Nancere
sh91003113	Nancowry language	ncb	Central Nicobarese
sh85089669	Nande language	nnb	Nande
sh85089671	Nandi language	kln	Kalenjin
sh85089682	Nankanse language	gur	Farefare
sh92004875	Nankina language	nnk	Nankina
sh85089697	Nanticoke language	nnt	Nanticoke
sh85089786	Napu language	npy	Napu
sh85089789	Narak language	nac	Narak
sh85089831	Narragansett language	mof	Mohegan-Montauk-Narragansett
sh85089865	Narrinyeri language	nay	Narrinyeri
sh85089883	Naskapi language	nsk	Naskapi
sh85089930	Natchez language	ncz	Natchez
sh97006840	Nateni language	ntm	Nateni
sh85090323	Nauru language	nau	Nauru
sh85090350	Navajo language	nav	Navajo
sh99000092	Nawdm language	nmz	Nawdm
sh85087466	Naxi language	nbf	Naxi
sh85090465	Nchumburu language	ncu	Chumburung
sh85024233	Ndau language	ndc	Ndau
sh85090471	Ndebele language (South Africa)	nbl	South Ndebele
sh85090472	Ndebele language (Zimbabwe)	nde	North Ndebele
sh2003010198	Ndjebbana language	djj	Djeebbana
sh85090484	Ndonga language	ndo	Ndonga
sh85090486	Ndumu language	nmd	Ndumu
sh2003005810	Ndunga language	ndt	Ndunga
sh86004211	Negidal language	neg	Negidal
sh98005031	Nehan language	nsn	Nehan
sh85090715	Nembe language	ijs	Southeast Ijo
sh85090719	Nemi language	nem	Nemi
sh85090732	Nenets language	yrk	Nenets
sh85090733	Nengone language	nen	Nengone
sh90004399	Nenusa-Miangas language	tld	Talaud
sh85090833	Nepali language	nep	Nepali
sh98004856	New Zealand Sign Language	nzs	New Zealand Sign Language
sh85091532	Newari language	new	Newari
sh85091650	Nez Percé language	nez	Nez Perce
sh85091657	Ngaanyatjara language	ntj	Ngaanyatjarra
sh85091658	Ngada language	nxg	Ngad&apos;a
sh85091662	Ngadju language (Australia)	nju	Ngadjunmaya
sh85091661	Ngaju language	nij	Ngaju
sh85091664	Ngalakan language	nig	Ngalakan
sh2003010163	Ngaliwuru language	djd	Djamindjung
sh86004586	Ngama language	nmc	Ngam
sh85091666	Nganasan language	nio	Nganasan
sh85091668	Ngandi language	nid	Ngandi
sh92005150	Ngankikurungkurr language	nam	Nangikurrunggurr
sh85091670	Ngarinyin language	ung	Ngarinyin
sh2003010440	Ngarinyman language	nbj	Ngarinman
sh85091671	Ngarluma language	nrl	Ngarluma
sh94000075	Ngatik language	ngm	Ngatik Men&apos;s Creole
sh92006054	Ngaun language	cnw	Ngawn Chin
sh2002009530	Ngawun language	nxn	Ngawun
sh85091676	Ngbaka ma&apos;bo language	nbm	Ngbaka Ma&apos;bo
sh2004003260	Ngemba language (Cameroon)	nge	Ngemba
sh97000756	Ngiti language	niy	Ngiti
sh85091682	Ngizim language	ngi	Ngizim
sh99004934	Ngologa language	xkv	Kgalagadi
sh2003003317	Ngomba language (Bamileke)	jgo	Ngomba
sh85091685	Ngombe language	ngc	Ngombe (Democratic Republic of Congo)
sh85091687	Ngonde language	nyy	Nyakyusa-Ngonde
sh96005071	Nguôn language	nuo	Nguôn
sh85091695	Ngwa language	ibo	Igbo
sh85091680	Ngyemboon language	nnh	Ngiemboon
sh88004018	Nharo language	nhr	Naro
sh85091709	Nias language	nia	Nias
sh97006954	Nicaraguan Sign Language	ncs	Nicaraguan Sign Language
sh85091827	Nielim language	nie	Niellim
sh85089525	Nihali language	nll	Nihali
sh85091929	Nii language	nii	Nii
sh85091946	Nilamba language	nim	Nilamba
sh85091967	Nimadi language	noe	Nimadi
sh85091970	Nimboran language	nir	Nimboran
sh85092008	Nipissing language	ojc	Central Ojibwa
sh85092018	Nirere language	kib	Koalib
sh85092022	Nisenan language	nsz	Nisenan
