# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
bgj	sn	Bangolan language
bnx	sn	Bangubangu
bnx	sn	Bangubangu language
nwe	sn	Bangwa
nwe	sn	Bangwa language
bwi	sn	Baniwa
bwi	sn	Baniwa language
bjn	sn	Banjar Hulu
bjn	sn	Banjar Hulu dialect
bjn	sn	Banjarese
bjn	sn	Banjarese language
bcm	sn	Banoni
bcm	sn	Banoni language
bap	sn	Bantawa
bap	sn	Bantawa language
jav	sn	Banten
jav	sn	Banten dialect
bno	sn	Banton
bno	sn	Banton language
bnt	sn	Bantu languages
pnw	sn	Banyjima
pnw	sn	Banyjima language
gbg	sn	Banziri
gbg	sn	Banziri language
bhr	sn	Bara (Madagascar)
bhr	sn	Bara dialect (Madagascar)
bbb	sn	Barai
bbb	sn	Barai language
brd	sn	Baram
brd	sn	Baram language
brm	sn	Barambu
brm	sn	Barambu language
bao	sn	Barasana del Norte
bao	sn	Barasana del Norte language
bsn	sn	Barasana del Sur
bsn	sn	Barasana del Sur language
bcj	sn	Bardi
bcj	sn	Bardi language
bae	sn	Bare?
bae	sn	Bare? language
pmf	sn	Baree?
pmf	sn	Baree? dialect
bfa	sn	Bari
bfa	sn	Bari language
bch	sn	Bariai
bch	sn	Bariai language
bba	sn	Bariba
bba	sn	Bariba language
kuy	sn	Barkindji
kuy	sn	Barkindji language
bjb	sn	Barngarla
bjb	sn	Barngarla language
sgh	sn	Bartang
sgh	sn	Bartang dialect
byr	sn	Baruya
byr	sn	Baruya language
bas	sn	Basa
bas	sn	Basa language
bdb	sn	Basap
bdb	sn	Basap language
bsh	sn	Bashgali
bsh	sn	Bashgali language
bak	sn	Bashkir
bak	sn	Bashkir language
bst	sn	Basketo
bst	sn	Basketo language
eus	sn	Basque
eus	sn	Basque language
bsq	sn	Bassa
bsq	sn	Bassa (Liberia and Sierra Leone)
bsq	sn	Bassa language (Liberia and Sierra Leone)
bsc	sn	Bassari
bsc	sn	Bassari language
bta	sn	Bata
bta	sn	Bata language
ifb	sn	Batad Ifugao
ifb	sn	Batad Ifugao dialect
bya	sn	Batak
bya	sn	Batak language
btc	sn	Bati
btc	sn	Bati language
bbl	sn	Bats
bbl	sn	Bats language
sne	sn	Bau-Jagoi
sne	sn	Bau-Jagoi dialect
bci	sn	Baule
bci	sn	Baule language
brg	sn	Baure?
brg	sn	Baure? language
bxa	sn	Bauro
bxa	sn	Bauro language
bvz	sn	Bauzi
bvz	sn	Bauzi language
ibx	sn	Bawo
lbx	sn	Bawo (Indonesia)
lbx	sn	Bawo language (Indonesia)
duq	sn	Bayan
duq	sn	Bayan language
bxj	sn	Bayungu
bxj	sn	Bayungu language
onb	sn	Be
onb	sn	Be language
oci	sn	Be?arnais
oci	sn	Be?arnais dialect
kan	sn	Beary
kan	sn	Beary dialect
beb	sn	Bebele
beb	sn	Bebele language
tnr	sn	Bedik
tnr	sn	Bedik language
dbj	sn	Begak
dbj	sn	Begak dialect
bej	sn	Beja
bej	sn	Beja language
bei	sn	Bekati'
bei	sn	Bekati' language
bkv	sn	Bekwarra
bkv	sn	Bekwarra language
bel	sn	Belarusian
bel	sn	Belarusian language
blc	sn	Bella Coola
blc	sn	Bella Coola language
bem	sn	Bemba
bem	sn	Bemba language
beq	sn	Bembe (Congo (Brazzaville))
bmb	sn	Bembe (Lake Tanganyika)
beq	sn	Bembe language (Congo (Brazzaville))
bmb	sn	Bembe language (Lake Tanganyika)
bef	sn	Benabena
bef	sn	Benabena language
pse	sn	Benakat
pse	sn	Benakat language
bdp	sn	Bende
bdp	sn	Bende language
nhb	sn	Beng
nhb	sn	Beng language
bng	sn	Benga
bng	sn	Benga language
ben	sn	Bengali
ben	sn	Bengali language
bww	sn	Benge
bww	sn	Benge language
pse	sn	Bengkulu
pse	sn	Bengkulu language
bue	sn	Beothuk
bue	sn	Beothuk language
zbc	sn	Berawan
zbe	sn	Berawan
zbw	sn	Berawan
zbc	sn	Berawan language
zbe	sn	Berawan language
zbw	sn	Berawan language
ber	sn	Berber languages
bkl	sn	Berik
bkl	sn	Berik language
wti	sn	Berta
wti	sn	Berta language
pse	sn	Besemah
pse	sn	Besemah dialect
mhe	sn	Besisi
mhe	sn	Besisi language
bew	sn	Betawi
bew	sn	Betawi dialect
byf	sn	Bete
byf	sn	Bete language
plt	sn	Betsileo
plt	sn	Betsileo dialect
bjq	sn	Betsimisaraka
bjq	sn	Betsimisaraka dialect
kap	sn	Bezhta
kap	sn	Bezhta language
bhd	sn	Bhadrawahi
bhd	sn	Bhadrawahi dialect
bhd	sn	Bhalesi
bhd	sn	Bhalesi dialect
bgw	sn	Bhatri
bgw	sn	Bhatri dialect
bhb	sn	Bhili
bhb	sn	Bhili language
bho	sn	Bhojpuri
bho	sn	Bhojpuri language
unr	sn	Bhumij
unr	sn	Bhumij language
bhw	sn	Biak
bhw	sn	Biak language
beh	sn	Biali
beh	sn	Biali language
big	sn	Biangai
big	sn	Biangai language
cmo	sn	Biat
cmo	sn	Biat language
bth	sn	Biatah
bth	sn	Biatah dialect
grc	sn	Biblical Greek
bid	sn	Bidiyo
bid	sn	Bidiyo language
bym	sn	Bidjara
bym	sn	Bidjara language
brj	sn	Bieria
brj	sn	Bieria language
nmb	sn	Big Nambas
nmb	sn	Big Nambas language
bih	sn	Bihari
bih	sn	Bihari language
bjg	sn	Bijago
bjg	sn	Bijago language
rwr	sn	Bikaneri
rwr	sn	Bikaneri dialect
bik	sn	Bikol
bik	sn	Bikol language
bpr	sn	Bilaan
bps	sn	Bilaan
bpr	sn	Bilaan language
bps	sn	Bilaan language
kfs	sn	Bila?spuri?
kfs	sn	Bila?spuri? dialect
bcu	sn	Biliau
bcu	sn	Biliau language
byn	sn	Bilin
byn	sn	Bilin language
bll	sn	Biloxi
bll	sn	Biloxi language
blb	sn	Bilua
blb	sn	Bilua language
bhp	sn	Bimanese
bhp	sn	Bimanese language
bhl	sn	Bimin
bhl	sn	Bimin language
bhg	sn	Binandere
bhg	sn	Binandere language
bhq	sn	Binongko
bhq	sn	Binongko dialect
bne	sn	Bintauna
