Archive_ID	RepositoryName
189	MUNDUS - UK Missionary collections
591	Munin
139	Münster University, Germany, Document Server
534	Muroran-IT Academic Resources Archive
680	Musée royal de Mariemont OAI repository
464	naistar (NAIST Academic Repository)
113	NAL Institutional Repository
702	NAOSITE : Nagasaki University's Academic Output SITE
721	Nara Women's University Digital Information Repository
351	National Institute of Informatics Metadata Database
267	National Library of Australia Digital Object Repository
57	National Library of Czech Republic - Digitized documents
457	Naturalis Publications
269	NECTAR
122	NELLCO Legal Scholarship Repository
435	NERAKIN Documnets Repository
148	New File System Repository
637	New Zealand Electronic Text Centre
450	nifs-k repository
423	Niigata University Academic Repository
579	NMT Community Archive
95	Northern Arizona University. Cline Library. Colorado Plateau Digital Archives.
330	OAI IDS Luzern
514	OAI Repositorio Institucional Referencial (Sistema LIBRUM), SERBIULA - Universidad de Los Andes, Venezuela
389	OAI Repositorio Institucional Referencial de Tesis y Trabajos (Sistema LIBRUM), SERBIULA - Universidad de Los Andes, Venezuela
383	OAI Repositorio Revista Tertulia Libre (Sistema LIBRUM), Venezuela
26	OAI Repository for Hipe.fr
216	OAI-PMH Archives at SININ
10	OAI-PMH Archives within Socionet Personal Zone
79	OAIMFT
260	oatao
620	Ochanomizu University Web Library - Institutional Repository (TeaPot)
176	OCLC's Experimental Thesis Catalog (XTCat)
446	OHSU Electronic Theses and Dissertations
558	Open Context: Community Data Sharing and Tagging
394	Open Context: Community Data Sharing and Tagging
24	Open Journal Systems
404	OpenAIR @ RGU
308	OpenMED@NIC
174	OpenSIUC
125	OPUS 12 Scientist / OPUS 12 Foundation, Inc.
101	Organic Eprints
642	Osaka Kyoiku University Repository
354	Osaka University Repository
212	Oxford Eprints
46	Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC)
262	PADIS - Pubblicazioni Aperte Digitali Interateneo Sapienza
85	Padua@Research
367	PANGAEA - Publishing Network for Geoscientific & Environmental Data
462	Papadocs
322	Papers by Johannes Knabe
256	Papyrus -- Depot institutionel de l'Universite de Montreal
599	Paris X publications
202	PASTEL
532	Patancheru
460	Patrimonio Intelectual de la ULA
535	Persée, périodiques scientifiques en édition électronique
372	Perseus Digital Library
633	Personal Photo Collection of Mark E. Phillips
409	Petra Christian University Research Center
32	Petroleum Journals Online
240	PhilSci Archive
99	Physnet, Physics Document Server, Germany
208	Plan Archive
414	PolyU Institutional Repository
36	Portal de Periódicos Científicos Eletrônicos da UFPB
403	Portal de Periódicos Científicos Eletrônicos da UFPB
252	Portal de Revistas Científicas de la Universidad Complutense de Madrid
469	PoS Proceedings of Science
487	Private Academic Library Network of Indiana Digital Repository
164	Professional Association Information Library, GERMANY, OPUS
326	Project Euclid (Hosted at Cornell University Library)
536	Project MUSE
425	Project MUSE
424	Prometheus-Academic Collections
334	Psicologia Argumento
157	PSNC Digital Libraries Team Repository
266	Psychopharmacology & Biological Narcology
321	PsyDok, Psychologie Open Access Server der Saarländischen Universitäts- und Landesbibliothek
524	pub.fontys.nl
255	Publication of Archival, Library and Museum Materials (PALMM)
714	Publications of the Universiteit van Amsterdam
249	Purdue e-Pubs
100	QUT ePrints
477	RECERCAT
28	redalyc
115	REDINED - Red de Información Educativa 
713	RePEc
668	Repositorio de la Facultad de FilosofÃ­a y Letras. UNAM.
576	Repositorio de la UNED
319	Repositorio de manuscritos de la Universidad de Valladolid
48	Repositorio Digital de la Universidad de Zaragoza
715	REPOSITORIO DIGITAL UPCT
437	Repositório Eletrônico - Departamento de Ciências Agrárias
21	REPOSITORIUM: Primer Repositorio de Metadatos Venezolano
55	Repository of the LBI-HTA
420	Repository@Napier
9	RERO DOC
47	Research Library Olomouc, Czech Republic
18	Research Online
621	ResearchArchive at Victoria University of Wellington
679	ResearchCommons@Waikato
517	ResearchSpace at The University of Auckland
137	Rev. de Clin. Pesq. Odontol.
175	Revista de Informática Teórica e Aplicada
641	Revista FAMECOS: mí­dia, cultura e tecnologia
5	Revista Fisioterapia em Movimento
666	Revistas Eletrônicas de Ciências da Comunicação - Portal Revcom
703	Revistas Eletrônicas de Ciências da Comunicação - Portal Revcom
6	Revistas Eletrônicas UNITAU
701	Revistes Catalanes amb Accés Obert (RACO)
135	Revues.org - Fédération de revues scientifiques en sciences humaines et sociales
96	Rhodes eResearch Repository
573	RIA
147	RIB Archive
275	SA Health Publications
107	Sabanci University Research Database
451	Santa Clara University Library Digital Collections
78	Scholar Works @ GVSU
369	ScholArchive: Pilot Repository Project
541	ScholarlyCommons@AUT 
111	ScholarlyCommons@Penn
30	Scholarship@Western
258	Science Attic
39	Scientific Correspondences Project
187	Scientific Correspondences Project
663	Scientific production
650	Search4Dev Publications
704	Senator H. John Heinz III Archives; Carnegie Mellon University
117	Serveur OAI du Conservatoire numérique
305	SerWisS - Server für wissenschaftliche Schriften der Fachhochschule Hannover
557	Shinshu University Institutional Repository
303	Silesian Digital Library
407	Site de publication Ã©lectronique des revues de sciences sociales et humaines de   l`UniversitÃ© de Nice Sophia Antipolis
649	SSOAR - Social Science Open Access Repository
177	State and University Library Bremen
654	Stellenbosch University Institutional Repository
310	Stoa' eprints
546	STORRE: Stirling Online Research Repository 
671	SUCRA
72	Sugar Industry Collection
413	SURE: Shizuoka University REpository
225	Surrey Scholarship Online
64	System for e-Reviews @ University Of Naples
478	TARA
120	TDL Electronic Press
317	Temaria: revistas digitales de biblioteconomía y documentación
722	TEORA - Telemark Open Research Archive
284	The Berkeley Electronic Press SelectedWorks
69	The Digital Archive of the University of Groningen, The Netherlands.
342	The Digital Library for Earth System Education (DLESE)
199	The Digital Library of the University of Lodz 
162	The Journal of eWorking
152	The Library of the Jewish Theological Seminary
616	The Maine Memory Network, a project of the Maine Historical Society, is a\n\t\tstatewide digital museum that provides access to thousands of historical\n\t\titems from over 180 museums, historical societies, libraries, and other\n\t\torganizations thoughout Maine.
498	The TAMU Digital Repository
150	the University of Brighton Repository
228	The University of Melbourne Digital Repository
274	The University of Pittsburgh. University Library System. Digital Research Library.
338	The University of Southern California Digital Archive
7	The University of Tennessee Libraries
428	The University of Texas at Austin Libraries OAI Repository
594	Theses database
195	thesesups
571	Tokyo Dental College
647	TOUR(TOhoku University Repository)
411	Tri-Colleges CONTENTdm Respository
452	TRUST Academy Online
684	Tsukuba Repository (Tulips-R)
186	TU Delft repository
229	TUCS Publications Database
682	Turku Centre for Computer Science
138	UBC cIRcle
25	UBIR: University of Bolton Institutional Repository
592	UC Research Repository
