Asia	Indonesia	auu	Trans-New Guinea	350
Asia	Indonesia	auw	Border	350
Pacific	Papua New Guinea	auy	Trans-New Guinea	11100
Asia	Uzbekistan	auz	Afro-Asiatic	700
Europe	Russian Federation	ava	North Caucasian	788960
Pacific	Papua New Guinea	avb	Austronesian	620
Asia	Iran	avd	Indo-European	
Africa	Cote dIvoire	avi	Niger-Congo	21000
Africa	Egypt	avl	Afro-Asiatic	1690000
Africa	Ghana	avn	Niger-Congo	24000
Pacific	Papua New Guinea	avt	Torricelli	8000
Africa	Sudan	avu	Nilo-Saharan	65000
Americas	Brazil	avv	Tupi	40
Asia	India	awa	Indo-European	38261000
Pacific	Papua New Guinea	awb	Trans-New Guinea	2050
Africa	Nigeria	awc	Niger-Congo	20000
Americas	Brazil	awe	Tupi	140
Asia	Indonesia	awh	Bayono-Awbono	100
Pacific	Papua New Guinea	awi	Trans-New Guinea	8000
Pacific	Papua New Guinea	awm	Trans-New Guinea	60
Africa	Ethiopia	awn	Afro-Asiatic	500000
Africa	Nigeria	awo	Niger-Congo	6000
Asia	Indonesia	awr	Lakes Plain	70
Asia	Indonesia	aws	Trans-New Guinea	9340
Americas	Brazil	awt	Tupi	290
Asia	Indonesia	awu	Trans-New Guinea	7500
Asia	Indonesia	awv	Trans-New Guinea	2300
Pacific	Papua New Guinea	aww	Sepik	400
Pacific	Papua New Guinea	awx	Trans-New Guinea	1870
Asia	Indonesia	awy	Trans-New Guinea	3870
Africa	Central African Republic	axk	Niger-Congo	30000
Pacific	New Caledonia	axx	Austronesian	570
Pacific	Papua New Guinea	aya	Ramu-Lower Sepik	1090
Africa	Benin	ayb	Niger-Congo	227000
Americas	Peru	ayc	Aymaran	219000
Africa	Nigeria	aye	Niger-Congo	3000
Africa	Togo	ayg	Niger-Congo	12000
Asia	Yemen	ayh	Afro-Asiatic	410000
Africa	Nigeria	ayi	Niger-Congo	10000
Africa	Nigeria	ayk	Niger-Congo	
Africa	Libya	ayl	Afro-Asiatic	4321000
Asia	Yemen	ayn	Afro-Asiatic	7600000
Americas	Paraguay	ayo	Zamucoan	3070
Asia	Iraq	ayp	Afro-Asiatic	6300000
Pacific	Papua New Guinea	ayq	Sepik	430
Americas	Bolivia	ayr	Aymaran	2262900
Asia	Philippines	ays	Austronesian	18
Asia	Philippines	ayt	Austronesian	500
Africa	Nigeria	ayu	Niger-Congo	800
Asia	China	ayx	Sino-Tibetan	2200
Asia	Indonesia	ayz	Maybrat	20000
Asia	China	aza	Sino-Tibetan	53000
Asia	Iran	azb	Altaic	12612660
Americas	Mexico	azg	Oto-Manguean	4000
Asia	Azerbaijan	azj	Altaic	7473270
Americas	Mexico	azm	Oto-Manguean	940
Africa	Cameroon	azo	Niger-Congo	19000
Asia	Philippines	azt	Austronesian	300
Americas	Mexico	azz	Uto-Aztecan	125000
Pacific	Solomon Islands	baa	Austronesian	7070
Africa	Guinea-Bissau	bab	Niger-Congo	8860
Asia	Indonesia	bac	Austronesian	20000
Africa	Cameroon	baf	Niger-Congo	4500
Africa	Cameroon	bag	Niger-Congo	26000
Americas	Bahamas	bah	Creole	225000
Asia	Indonesia	baj	Austronesian	4300
Europe	Russian Federation	bak	Altaic	1451340
Africa	Mali	bam	Niger-Congo	2772340
Asia	Indonesia	ban	Austronesian	3330000
Americas	Colombia	bao	Tucanoan	700
Asia	Nepal	bap	Sino-Tibetan	390200
Europe	Austria	bar	Indo-European	13259000
Africa	Cameroon	bas	Niger-Congo	230000
Africa	Nigeria	bau	Niger-Congo	10000
Africa	Cameroon	bav	Niger-Congo	27000
Africa	Cameroon	baw	Niger-Congo	10000
Africa	Cameroon	bax	Niger-Congo	215000
Asia	Indonesia	bay	Austronesian	3840
Africa	Cameroon	baz	Niger-Congo	35300
Africa	Benin	bba	Niger-Congo	560000
Pacific	Papua New Guinea	bbb	Trans-New Guinea	800
Asia	Indonesia	bbc	Austronesian	2000000
Pacific	Papua New Guinea	bbd	Trans-New Guinea	3060
Africa	Democratic Republic of the Congo	bbe	Niger-Congo	11000
Pacific	Papua New Guinea	bbf	Arai-Kwomtari	340
Africa	Gabon	bbg	Niger-Congo	6000
Asia	China	bbh	Austro-Asiatic	2700
Africa	Cameroon	bbi	Niger-Congo	3000
Africa	Cameroon	bbj	Niger-Congo	260000
Africa	Cameroon	bbk	Niger-Congo	22500
Asia	Georgia	bbl	North Caucasian	3420
Africa	Democratic Republic of the Congo	bbm	Niger-Congo	2550
Pacific	Papua New Guinea	bbn	Austronesian	10000
Africa	Burkina Faso	bbo	Niger-Congo	60000
