Language	Level	Type	Code	Name
dyg	4	G	phi	Philippine
dyg	5	I	dyg	Villa Viciosa Agta
dyi	1	G	nic	Niger-Kordofanian
dyi	2	G	alv	Atlantic-Congo
dyi	3	I	dyi	Djimini Senoufo
dyk	1	G	map	Austronesian
dyk	2	I	dyk	Land Dayak
dym	1	G	nic	Niger-Kordofanian
dym	2	G	alv	Atlantic-Congo
dym	3	I	dym	Yanda Dom Dogon
dyn	1	G	aus	Australian
dyn	2	I	dyn	Dyangadi
dyo	1	G	nic	Niger-Kordofanian
dyo	2	G	alv	Atlantic-Congo
dyo	3	I	dyo	Jola-Fonyi
dyu	1	G	nic	Niger-Kordofanian
dyu	2	G	dmn	Mande
dyu	3	I	dyu	Dyula
dyy	1	G	aus	Australian
dyy	2	I	dyy	Dyaabugay
dza	1	G	nic	Niger-Kordofanian
dza	2	G	alv	Atlantic-Congo
dza	3	I	dza	Tunzu
dzd	1	G	afa	Afro-Asiatic
dzd	2	I	dzd	Daza
dzg	1	G	ssa	Nilo-Saharan
dzg	2	I	dzg	Dazaga
dzl	1	G	sit	Sino-Tibetan
dzl	2	G	tbq	Tibeto-Burman
dzl	3	I	dzl	Dzalakha
dzn	1	G	nic	Niger-Kordofanian
dzn	2	G	alv	Atlantic-Congo
dzn	3	G	bnt	Bantu
dzn	4	I	dzn	Dzando
dzo	1	G	sit	Sino-Tibetan
dzo	2	G	tbq	Tibeto-Burman
dzo	3	I	dzo	Dzongkha
ebg	1	G	nic	Niger-Kordofanian
ebg	2	G	alv	Atlantic-Congo
ebg	3	I	ebg	Ebughu
ebk	1	G	map	Austronesian
ebk	2	G	poz	Malayo-Polynesian
ebk	3	G	pqw	Western Malayo-Polynesian
ebk	4	G	phi	Philippine
ebk	5	I	ebk	Eastern Bontok
ebo	1	G	nic	Niger-Kordofanian
ebo	2	G	alv	Atlantic-Congo
ebo	3	I	ebo	Teke-Ebo
ebr	1	G	nic	Niger-Kordofanian
ebr	2	G	alv	Atlantic-Congo
ebr	3	I	ebr	Ebrié
ebu	1	G	nic	Niger-Kordofanian
ebu	2	G	alv	Atlantic-Congo
ebu	3	G	bnt	Bantu
ebu	4	I	ebu	Embu
ecs	1	G	sgn	sign languages
ecs	2	I	ecs	Ecuadorian Sign Language
eee	1	G	tai	Tai
eee	2	I	eee	E
efa	1	G	nic	Niger-Kordofanian
efa	2	G	alv	Atlantic-Congo
efa	3	I	efa	Efai
efe	1	G	ssa	Nilo-Saharan
efe	2	I	efe	Efe
efi	1	G	nic	Niger-Kordofanian
efi	2	G	alv	Atlantic-Congo
efi	3	I	efi	Efik
ega	1	G	nic	Niger-Kordofanian
ega	2	G	alv	Atlantic-Congo
ega	3	I	ega	Ega
egl	1	G	ine	Indo-European
egl	2	G	itc	Italic
egl	3	G	roa	Romance
egl	4	I	egl	Emilian
ego	1	G	nic	Niger-Kordofanian
ego	2	G	alv	Atlantic-Congo
ego	3	I	ego	Eggon
ehu	1	G	nic	Niger-Kordofanian
ehu	2	G	alv	Atlantic-Congo
ehu	3	I	ehu	Ehueun
eip	1	G	paa	Papuan
eip	2	G	ngf	Trans-New Guinea
eip	3	I	eip	Eipomek
eit	1	G	paa	Papuan
eit	2	I	eit	Eitiep
eiv	1	G	paa	Papuan
eiv	2	I	eiv	Askopan
eja	1	G	nic	Niger-Kordofanian
eja	2	G	alv	Atlantic-Congo
eja	3	I	eja	Ejamat
eka	1	G	nic	Niger-Kordofanian
eka	2	G	alv	Atlantic-Congo
eka	3	I	eka	Ekajuk
eke	1	G	nic	Niger-Kordofanian
eke	2	G	alv	Atlantic-Congo
eke	3	I	eke	Ekit
ekg	1	G	paa	Papuan
ekg	2	G	ngf	Trans-New Guinea
ekg	3	I	ekg	Ekari
eki	1	G	nic	Niger-Kordofanian
eki	2	G	alv	Atlantic-Congo
eki	3	I	eki	Eki
ekk	1	G	urj	Uralic
ekk	2	G	fiu	Finno-Ugrian
ekk	3	I	ekk	Standard Estonian
ekl	1	G	aav	Austro-Asiatic
ekl	2	G	mun	Munda
ekl	3	I	ekl	Kol
ekm	1	G	nic	Niger-Kordofanian
ekm	2	G	alv	Atlantic-Congo
ekm	3	G	bnt	Bantu
ekm	4	I	ekm	Elip
eko	1	G	nic	Niger-Kordofanian
eko	2	G	alv	Atlantic-Congo
eko	3	G	bnt	Bantu
eko	4	I	eko	Koti
ekp	1	G	nic	Niger-Kordofanian
ekp	2	G	alv	Atlantic-Congo
ekp	3	I	ekp	Ekpeye
ekr	1	G	nic	Niger-Kordofanian
ekr	2	G	alv	Atlantic-Congo
ekr	3	I	ekr	Yace
eky	1	G	sit	Sino-Tibetan
eky	2	G	tbq	Tibeto-Burman
eky	3	G	kar	Karen
eky	4	I	eky	Eastern Kayah
ele	1	G	paa	Papuan
ele	2	I	ele	Elepi
elh	1	G	ssa	Nilo-Saharan
elh	2	G	sdv	Eastern Sudanic
elh	3	G	nub	Nubian
elh	4	I	elh	El Hugeirat
eli	1	G	nic	Niger-Kordofanian
eli	2	I	eli	Nding
elk	1	G	paa	Papuan
elk	2	I	elk	Elkei
ell	1	G	ine	Indo-European
ell	2	G	grk	Greek
ell	3	I	ell	Modern Greek (1453-)
elm	1	G	nic	Niger-Kordofanian
elm	2	G	alv	Atlantic-Congo
elm	3	I	elm	Eleme
elo	1	G	afa	Afro-Asiatic
elo	2	G	cus	Cushitic
elo	3	I	elo	El Molo
elp	1	G	map	Austronesian
elp	2	G	poz	Malayo-Polynesian
elp	3	G	plf	Central Malayo-Polynesian
elp	4	I	elp	Elpaputih
elu	1	G	map	Austronesian
elu	2	G	poz	Malayo-Polynesian
elu	3	G	pqe	Eastern Malayo-Polynesian
elu	4	I	elu	Elu
ema	1	G	nic	Niger-Kordofanian
ema	2	G	alv	Atlantic-Congo
ema	3	I	ema	Emai-Iuleha-Ora
emb	1	G	map	Austronesian
emb	2	I	emb	Embaloh
eme	1	G	sai	South American Indian
eme	2	I	eme	Emerillon
emg	1	G	sit	Sino-Tibetan
emg	2	G	tbq	Tibeto-Burman
emg	3	I	emg	Eastern Meohang
emi	1	G	map	Austronesian
emi	2	G	poz	Malayo-Polynesian
emi	3	G	pqe	Eastern Malayo-Polynesian
emi	4	I	emi	Mussau-Emira
emk	1	M	man	Mandingo
emk	2	I	emk	Eastern Maninkakan
eml	1	G	ine	Indo-European
eml	2	G	itc	Italic
eml	3	G	roa	Romance
eml	4	I	eml	Emiliano-Romagnolo
emm	1	G	sai	South American Indian
emm	2	I	emm	Mamulique
emn	1	G	nic	Niger-Kordofanian
emn	2	G	alv	Atlantic-Congo
emn	3	G	bnt	Bantu
emn	4	I	emn	Eman
emo	1	G	sai	South American Indian
emo	2	I	emo	Emok
emp	1	G	sai	South American Indian
emp	2	I	emp	Northern Emberá
ems	1	G	esx	Eskimo-Aleut
ems	2	G	ypk	Yupik
ems	3	I	ems	Pacific Gulf Yupik
emu	1	G	dra	Dravidian
emu	2	I	emu	Eastern Muria
emw	1	G	map	Austronesian
emw	2	G	poz	Malayo-Polynesian
emw	3	G	plf	Central Malayo-Polynesian
emw	4	I	emw	Emplawas
emx	1	G	ine	Indo-European
emx	2	G	itc	Italic
emx	3	G	roa	Romance
emx	4	I	emx	Erromintxela
emy	1	G	sai	South American Indian
emy	2	I	emy	Epigraphic Mayan
ena	1	G	paa	Papuan
ena	2	G	ngf	Trans-New Guinea
ena	3	I	ena	Apali
enb	1	G	ssa	Nilo-Saharan
enb	2	I	enb	Markweeta
enc	1	G	tai	Tai
enc	2	I	enc	En
end	1	G	map	Austronesian
end	2	G	poz	Malayo-Polynesian
end	3	G	plf	Central Malayo-Polynesian
end	4	I	end	Ende
enf	1	G	urj	Uralic
enf	2	I	enf	Forest Enets
eng	1	G	ine	Indo-European
eng	2	G	gem	Germanic
eng	3	I	eng	English
enh	1	G	urj	Uralic
enh	2	I	enh	Tundra Enets
eni	1	G	map	Austronesian
eni	2	I	eni	Enim
enn	1	G	nic	Niger-Kordofanian
enn	2	G	alv	Atlantic-Congo
enn	3	I	enn	Engenni
eno	1	G	map	Austronesian
eno	2	I	eno	Enggano
enq	1	G	paa	Papuan
enq	2	G	ngf	Trans-New Guinea
enq	3	I	enq	Enga
enr	1	G	paa	Papuan
enr	2	G	ngf	Trans-New Guinea
enr	3	I	enr	Emumu
enu	1	G	sit	Sino-Tibetan
enu	2	G	tbq	Tibeto-Burman
enu	3	I	enu	Enu
env	1	G	nic	Niger-Kordofanian
env	2	G	alv	Atlantic-Congo
env	3	I	env	Enwan (Edu State)
enw	1	G	nic	Niger-Kordofanian
enw	2	G	alv	Atlantic-Congo
enw	3	I	enw	Enwan (Akwa Ibom State)
eot	1	G	nic	Niger-Kordofanian
eot	2	G	alv	Atlantic-Congo
eot	3	I	eot	Beti (Côte d'Ivoire)
epi	1	G	nic	Niger-Kordofanian
epi	2	G	alv	Atlantic-Congo
epi	3	I	epi	Epie
era	1	G	dra	Dravidian
era	2	I	era	Eravallan
erg	1	G	map	Austronesian
erg	2	G	poz	Malayo-Polynesian
erg	3	G	pqe	Eastern Malayo-Polynesian
erg	4	I	erg	Sie
erh	1	G	nic	Niger-Kordofanian
erh	2	G	alv	Atlantic-Congo
erh	3	I	erh	Eruwa
eri	1	G	paa	Papuan
eri	2	G	ngf	Trans-New Guinea
eri	3	I	eri	Ogea
erk	1	G	map	Austronesian
erk	2	G	poz	Malayo-Polynesian
erk	3	G	pqe	Eastern Malayo-Polynesian
erk	4	I	erk	South Efate
ero	1	G	sit	Sino-Tibetan
ero	2	G	tbq	Tibeto-Burman
ero	3	I	ero	Horpa
err	1	G	aus	Australian
err	2	I	err	Erre
ers	1	G	sit	Sino-Tibetan
ers	2	G	tbq	Tibeto-Burman
ers	3	I	ers	Ersu
ert	1	G	paa	Papuan
ert	2	I	ert	Eritai
erw	1	G	map	Austronesian
erw	2	G	poz	Malayo-Polynesian
erw	3	G	pqe	Eastern Malayo-Polynesian
erw	4	I	erw	Erokwanas
ese	1	G	sai	South American Indian
ese	2	I	ese	Ese Ejja
esh	1	G	ine	Indo-European
esh	2	G	iir	Indo-Iranian
esh	3	G	ira	Iranian
esh	4	I	esh	Eshtehardi
esi	1	G	esx	Eskimo-Aleut
esi	2	M	ipk	Inupiaq
esi	3	I	esi	North Alaskan Inupiatun
esk	1	G	esx	Eskimo-Aleut
esk	2	M	ipk	Inupiaq
esk	3	I	esk	Northwest Alaska Inupiatun
esl	1	G	sgn	sign languages
esl	2	I	esl	Egypt Sign Language
esm	1	G	nic	Niger-Kordofanian
esm	2	G	alv	Atlantic-Congo
esm	3	I	esm	Esuma
esn	1	G	sgn	sign languages
esn	2	I	esn	Salvadoran Sign Language
eso	1	G	sgn	sign languages
eso	2	I	eso	Estonian Sign Language
esq	1	G	nai	North American Indian
esq	2	I	esq	Esselen
ess	1	G	esx	Eskimo-Aleut
ess	2	G	ypk	Yupik
ess	3	I	ess	Central Siberian Yupik
esu	1	G	esx	Eskimo-Aleut
esu	2	G	ypk	Yupik
esu	3	I	esu	Central Yupik
etb	1	G	nic	Niger-Kordofanian
etb	2	G	alv	Atlantic-Congo
etb	3	I	etb	Etebi
etc	1	G	nai	North American Indian
etc	2	G	aql	Algic
etc	3	I	etc	Etchemin
eth	1	G	sgn	sign languages
eth	2	I	eth	Ethiopian Sign Language
etn	1	G	map	Austronesian
etn	2	G	poz	Malayo-Polynesian
etn	3	G	pqe	Eastern Malayo-Polynesian
etn	4	I	etn	Eton (Vanuatu)
eto	1	G	nic	Niger-Kordofanian
eto	2	G	alv	Atlantic-Congo
eto	3	G	bnt	Bantu
eto	4	I	eto	Eton (Cameroon)
etr	1	G	paa	Papuan
etr	2	G	ngf	Trans-New Guinea
etr	3	I	etr	Edolo
ets	1	G	nic	Niger-Kordofanian
ets	2	G	alv	Atlantic-Congo
ets	3	I	ets	Yekhee
etu	1	G	nic	Niger-Kordofanian
etu	2	G	alv	Atlantic-Congo
etu	3	G	bnt	Bantu
etu	4	I	etu	Ejagham
etx	1	G	nic	Niger-Kordofanian
etx	2	G	alv	Atlantic-Congo
etx	3	I	etx	Eten
etz	1	G	paa	Papuan
etz	2	G	ngf	Trans-New Guinea
etz	3	I	etz	Semimi
eur	1	G	art	Artificial
eur	2	I	eur	Europanto
eus	1	G	euq	Basque (family)
eus	2	I	eus	Basque
eve	1	G	tut	Altaic
eve	2	I	eve	Even
evh	1	G	nic	Niger-Kordofanian
evh	2	G	alv	Atlantic-Congo
evh	3	I	evh	Uvbie
evn	1	G	tut	Altaic
evn	2	I	evn	Evenki
ewe	1	G	nic	Niger-Kordofanian
ewe	2	G	alv	Atlantic-Congo
ewe	3	I	ewe	Ewe
ewo	1	G	nic	Niger-Kordofanian
ewo	2	G	alv	Atlantic-Congo
ewo	3	G	bnt	Bantu
ewo	4	I	ewo	Ewondo
ext	1	G	ine	Indo-European
ext	2	G	itc	Italic
ext	3	G	roa	Romance
ext	4	I	ext	Extremaduran
eya	1	G	nai	North American Indian
eya	2	I	eya	Eyak
eyo	1	G	ssa	Nilo-Saharan
eyo	1	G	ssa	Nilo-Saharan
eyo	2	G	sdv	Eastern Sudanic
eyo	2	G	sdv	Eastern Sudanic
eyo	2	G	ssa	Nilo-Saharan
eyo	2	G	ssa	Nilo-Saharan
eyo	3	I	kln	Kalenjin
eyo	3	M	kln	Kalenjin
eyo	4	I	eyo	Keiyo
eze	1	G	nic	Niger-Kordofanian
eze	2	G	alv	Atlantic-Congo
eze	3	I	eze	Uzekwe
faa	1	G	paa	Papuan
faa	2	G	ngf	Trans-New Guinea
faa	3	I	faa	Fasu
fab	1	G	crp	Creoles and pidgins
fab	2	G	cpp	Creoles and pidgins, Portuguese-based
fab	3	I	fab	Fa D'ambu
fad	1	G	paa	Papuan
fad	2	G	ngf	Trans-New Guinea
fad	3	I	fad	Wagi
faf	1	G	map	Austronesian
faf	2	G	poz	Malayo-Polynesian
faf	3	G	pqe	Eastern Malayo-Polynesian
faf	4	I	faf	Fagani
fag	1	G	paa	Papuan
fag	2	G	ngf	Trans-New Guinea
fag	3	I	fag	Finongan
fah	1	G	nic	Niger-Kordofanian
fah	2	G	alv	Atlantic-Congo
fah	3	I	fah	Baissa Fali
fai	1	G	paa	Papuan
fai	2	G	ngf	Trans-New Guinea
fai	3	I	fai	Faiwol
faj	1	G	paa	Papuan
faj	2	G	ngf	Trans-New Guinea
faj	3	I	faj	Faita
fak	1	G	nic	Niger-Kordofanian
fak	2	G	alv	Atlantic-Congo
fak	3	I	fak	Fang (Cameroon)
fal	1	G	nic	Niger-Kordofanian
fal	2	G	alv	Atlantic-Congo
fal	3	I	fal	South Fali
fam	1	G	nic	Niger-Kordofanian
fam	2	G	alv	Atlantic-Congo
fam	3	G	bnt	Bantu
fam	4	I	fam	Fam
fan	1	G	nic	Niger-Kordofanian
fan	2	G	alv	Atlantic-Congo
fan	3	G	bnt	Bantu
fan	4	I	fan	Fang (Equatorial Guinea)
fao	1	G	ine	Indo-European
fao	2	G	gem	Germanic
fao	3	G	gmq	North Germanic
fao	4	I	fao	Faroese
fap	1	G	nic	Niger-Kordofanian
fap	2	G	alv	Atlantic-Congo
fap	3	I	fap	Palor
far	1	G	map	Austronesian
far	2	G	poz	Malayo-Polynesian
far	3	G	pqe	Eastern Malayo-Polynesian
far	4	I	far	Fataleka
fat	1	G	nic	Niger-Kordofanian
fat	2	G	alv	Atlantic-Congo
fat	3	M	aka	Akan
fat	4	I	fat	Fanti
fau	1	G	paa	Papuan
fau	2	I	fau	Fayu
fax	1	G	ine	Indo-European
fax	2	G	itc	Italic
fax	3	G	roa	Romance
fax	4	I	fax	Fala
fay	1	G	ine	Indo-European
fay	2	G	iir	Indo-Iranian
fay	3	G	ira	Iranian
fay	4	I	fay	Southwestern Fars
faz	1	G	ine	Indo-European
faz	2	G	iir	Indo-Iranian
faz	3	G	ira	Iranian
faz	4	I	faz	Northwestern Fars
fbl	1	G	map	Austronesian
fbl	2	G	poz	Malayo-Polynesian
fbl	3	G	pqw	Western Malayo-Polynesian
fbl	4	G	phi	Philippine
fbl	5	M	bik	Bikol
fbl	6	I	fbl	West Albay Bikol
fcs	1	G	sgn	sign languages
fcs	2	I	fcs	Quebec Sign Language
fer	1	G	nic	Niger-Kordofanian
fer	2	G	alv	Atlantic-Congo
fer	3	I	fer	Feroge
ffi	1	G	paa	Papuan
ffi	2	G	ngf	Trans-New Guinea
ffi	3	I	ffi	Foia Foia
ffm	1	G	nic	Niger-Kordofanian
ffm	2	G	alv	Atlantic-Congo
ffm	3	M	ful	Fulah
ffm	4	I	ffm	Maasina Fulfulde
fgr	1	G	ssa	Nilo-Saharan
fgr	2	I	fgr	Fongoro
fia	1	G	ssa	Nilo-Saharan
fia	2	G	sdv	Eastern Sudanic
fia	3	G	nub	Nubian
fia	4	I	fia	Nobiin
fie	1	G	afa	Afro-Asiatic
fie	2	I	fie	Fyer
fij	1	G	map	Austronesian
fij	2	G	poz	Malayo-Polynesian
fij	3	G	pqe	Eastern Malayo-Polynesian
fij	4	I	fij	Fijian
fil	1	G	map	Austronesian
fil	2	G	poz	Malayo-Polynesian
fil	3	G	pqw	Western Malayo-Polynesian
fil	4	G	phi	Philippine
fil	5	I	fil	Filipino
fin	1	G	urj	Uralic
fin	2	G	fiu	Finno-Ugrian
fin	3	I	fin	Finnish
fip	1	G	nic	Niger-Kordofanian
fip	2	G	alv	Atlantic-Congo
fip	3	G	bnt	Bantu
fip	4	I	fip	Fipa
fir	1	G	nic	Niger-Kordofanian
fir	2	G	alv	Atlantic-Congo
fir	3	I	fir	Firan
fit	1	G	urj	Uralic
fit	2	G	fiu	Finno-Ugrian
fit	3	I	fit	Tornedalen Finnish
fiw	1	G	paa	Papuan
fiw	2	G	ngf	Trans-New Guinea
fiw	3	I	fiw	Fiwaga
fiz	1	G	nic	Niger-Kordofanian
fiz	2	G	alv	Atlantic-Congo
fiz	3	I	fiz	Izere
fkv	1	G	urj	Uralic
fkv	2	G	fiu	Finno-Ugrian
fkv	3	I	fkv	Kven Finnish
fla	1	G	nai	North American Indian
fla	2	G	sal	Salishan
fla	3	I	fla	Kalispel-Pend d'Oreille
flh	1	G	paa	Papuan
flh	2	I	flh	Foau
fli	1	G	afa	Afro-Asiatic
fli	2	I	fli	Fali
fll	1	G	nic	Niger-Kordofanian
fll	2	G	alv	Atlantic-Congo
fll	3	I	fll	North Fali
fln	1	G	aus	Australian
fln	2	I	fln	Flinders Island
flr	1	G	nic	Niger-Kordofanian
flr	2	G	alv	Atlantic-Congo
flr	3	G	bnt	Bantu
flr	4	I	flr	Fuliiru
fly	1	G	crp	Creoles and pidgins
fly	2	I	fly	Tsotsitaal
fmp	1	G	nic	Niger-Kordofanian
fmp	2	G	alv	Atlantic-Congo
fmp	3	G	bai	Bamileke
fmp	4	I	fmp	Fe'fe'
fmu	1	G	dra	Dravidian
fmu	2	I	fmu	Far Western Muria
fng	1	G	crp	Creoles and pidgins
fng	2	I	fng	Fanagalo
fni	1	G	nic	Niger-Kordofanian
fni	2	G	alv	Atlantic-Congo
fni	3	I	fni	Fania
fod	1	G	nic	Niger-Kordofanian
fod	2	G	alv	Atlantic-Congo
fod	3	I	fod	Foodo
foi	1	G	paa	Papuan
foi	2	G	ngf	Trans-New Guinea
foi	3	I	foi	Foi
fom	1	G	nic	Niger-Kordofanian
fom	2	G	alv	Atlantic-Congo
fom	3	G	bnt	Bantu
fom	4	I	fom	Foma
fon	1	G	nic	Niger-Kordofanian
fon	2	G	alv	Atlantic-Congo
fon	3	I	fon	Fon
for	1	G	paa	Papuan
for	2	G	ngf	Trans-New Guinea
for	3	I	for	Fore
fos	1	G	map	Austronesian
fos	2	I	fos	Siraya
fpe	1	G	crp	Creoles and pidgins
fpe	2	G	cpe	Creoles and pidgins, Englishâ€‘based
fpe	3	I	fpe	Fernando Po Creole English
fqs	1	G	paa	Papuan
fqs	2	I	fqs	Fas
fra	1	G	ine	Indo-European
fra	2	G	itc	Italic
fra	3	G	roa	Romance
fra	4	I	fra	French
frc	1	G	ine	Indo-European
frc	2	G	itc	Italic
frc	3	G	roa	Romance
frc	4	I	frc	Cajun French
frd	1	G	map	Austronesian
frd	2	G	poz	Malayo-Polynesian
frd	3	G	plf	Central Malayo-Polynesian
frd	4	I	frd	Fordata
frk	1	G	ine	Indo-European
frk	2	G	gem	Germanic
frk	3	I	frk	Frankish
frp	1	G	ine	Indo-European
frp	2	G	itc	Italic
frp	3	G	roa	Romance
frp	4	I	frp	Arpitan
frq	1	G	paa	Papuan
frq	2	G	ngf	Trans-New Guinea
frq	3	I	frq	Forak
frr	1	G	ine	Indo-European
frr	2	G	gem	Germanic
frr	3	I	frr	Northern Frisian
frs	1	G	ine	Indo-European
frs	2	G	gem	Germanic
frs	3	I	frs	Eastern Frisian
frt	1	G	map	Austronesian
frt	2	G	poz	Malayo-Polynesian
frt	3	G	pqe	Eastern Malayo-Polynesian
frt	4	I	frt	Fortsenal
fry	1	G	ine	Indo-European
fry	2	G	gem	Germanic
fry	3	G	gmw	West Germanic
fry	4	I	fry	Western Frisian
fse	1	G	sgn	sign languages
fse	2	I	fse	Finnish Sign Language
fsl	1	G	sgn	sign languages
fsl	2	I	fsl	French Sign Language
fss	1	G	sgn	sign languages
fss	2	I	fss	Finland-Swedish Sign Language
fub	1	G	nic	Niger-Kordofanian
fub	2	G	alv	Atlantic-Congo
fub	3	M	ful	Fulah
fub	4	I	fub	Adamawa Fulfulde
fuc	1	G	nic	Niger-Kordofanian
fuc	2	G	alv	Atlantic-Congo
fuc	3	M	ful	Fulah
fuc	4	I	fuc	Pulaar
fud	1	G	map	Austronesian
fud	2	G	poz	Malayo-Polynesian
fud	3	G	pqe	Eastern Malayo-Polynesian
fud	4	I	fud	East Futuna
fue	1	G	nic	Niger-Kordofanian
fue	2	G	alv	Atlantic-Congo
fue	3	M	ful	Fulah
fue	4	I	fue	Borgu Fulfulde
fuf	1	G	nic	Niger-Kordofanian
fuf	2	G	alv	Atlantic-Congo
fuf	3	M	ful	Fulah
fuf	4	I	fuf	Pular
fuh	1	G	nic	Niger-Kordofanian
fuh	2	G	alv	Atlantic-Congo
fuh	3	M	ful	Fulah
fuh	4	I	fuh	Western Niger Fulfulde
fui	1	G	nic	Niger-Kordofanian
fui	2	G	alv	Atlantic-Congo
fui	3	M	ful	Fulah
fui	4	I	fui	Bagirmi Fulfulde
fuj	1	G	nic	Niger-Kordofanian
fuj	2	I	fuj	Ko
fum	1	G	nic	Niger-Kordofanian
fum	2	G	alv	Atlantic-Congo
fum	3	G	bnt	Bantu
fum	4	I	fum	Fum
fun	1	G	sai	South American Indian
fun	2	I	fun	Fulniô
fuq	1	G	nic	Niger-Kordofanian
fuq	2	G	alv	Atlantic-Congo
fuq	3	M	ful	Fulah
fuq	4	I	fuq	Central-Eastern Niger Fulfulde
fur	1	G	ine	Indo-European
fur	2	G	itc	Italic
fur	3	G	roa	Romance
fur	4	I	fur	Friulian
fut	1	G	map	Austronesian
fut	2	G	poz	Malayo-Polynesian
fut	3	G	pqe	Eastern Malayo-Polynesian
fut	4	I	fut	Futuna-Aniwa
fuu	1	G	ssa	Nilo-Saharan
fuu	2	I	fuu	Furu
fuv	1	G	nic	Niger-Kordofanian
fuv	2	G	alv	Atlantic-Congo
fuv	3	M	ful	Fulah
fuv	4	I	fuv	Nigerian Fulfulde
fuy	1	G	paa	Papuan
fuy	2	G	ngf	Trans-New Guinea
fuy	3	I	fuy	Fuyug
fvr	1	G	ssa	Nilo-Saharan
fvr	2	I	fvr	Fur
fwa	1	G	map	Austronesian
fwa	2	G	poz	Malayo-Polynesian
fwa	3	G	pqe	Eastern Malayo-Polynesian
fwa	4	I	fwa	Fwâi
fwe	1	G	nic	Niger-Kordofanian
fwe	2	G	alv	Atlantic-Congo
fwe	3	G	bnt	Bantu
fwe	4	I	fwe	Fwe
gaa	1	G	nic	Niger-Kordofanian
gaa	2	G	alv	Atlantic-Congo
gaa	3	I	gaa	Ga
gab	1	G	afa	Afro-Asiatic
gab	2	I	gab	Gabri
gad	1	G	map	Austronesian
gad	2	G	poz	Malayo-Polynesian
gad	3	G	pqw	Western Malayo-Polynesian
gad	4	G	phi	Philippine
gad	5	I	gad	Gaddang
gae	1	G	sai	South American Indian
gae	2	I	gae	Guarequena
gaf	1	G	paa	Papuan
gaf	2	G	ngf	Trans-New Guinea
gaf	3	I	gaf	Gende
gag	1	G	tut	Altaic
gag	2	I	gag	Gagauz
gah	1	G	paa	Papuan
gah	2	G	ngf	Trans-New Guinea
gah	3	I	gah	Alekano
gai	1	G	paa	Papuan
gai	2	I	gai	Borei
gaj	1	G	paa	Papuan
gaj	2	G	ngf	Trans-New Guinea
gaj	3	I	gaj	Gadsup
gak	1	G	paa	Papuan
gak	2	I	gak	Gamkonora
gal	1	G	map	Austronesian
gal	2	G	poz	Malayo-Polynesian
gal	3	G	plf	Central Malayo-Polynesian
gal	4	I	gal	Galoli
gam	1	G	paa	Papuan
gam	2	G	ngf	Trans-New Guinea
gam	3	I	gam	Kandawo
gan	1	G	sit	Sino-Tibetan
gan	2	M	zho	Chinese
gan	3	I	gan	Gan Chinese
gao	1	G	paa	Papuan
gao	2	G	ngf	Trans-New Guinea
gao	3	I	gao	Gants
gap	1	G	paa	Papuan
gap	2	G	ngf	Trans-New Guinea
gap	3	I	gap	Gal
gaq	1	G	aav	Austro-Asiatic
gaq	2	G	mun	Munda
gaq	3	I	gaq	Gata'
gar	1	G	map	Austronesian
gar	2	G	poz	Malayo-Polynesian
gar	3	G	pqe	Eastern Malayo-Polynesian
gar	4	I	gar	Galeya
gas	1	G	ine	Indo-European
gas	2	G	iir	Indo-Iranian
gas	3	G	inc	Indic
gas	4	I	gas	Adiwasi Garasia
gat	1	G	paa	Papuan
gat	2	G	ngf	Trans-New Guinea
gat	3	I	gat	Kenati
gau	1	G	dra	Dravidian
gau	2	I	gau	Mudhili Gadaba
gav	1	G	paa	Papuan
gav	2	G	ngf	Trans-New Guinea
gav	3	I	gav	Gabutamon
gaw	1	G	paa	Papuan
gaw	2	G	ngf	Trans-New Guinea
gaw	3	I	gaw	Nobonob
gax	1	G	afa	Afro-Asiatic
gax	2	G	cus	Cushitic
gax	3	M	orm	Oromo
gax	4	I	gax	Borana-Arsi-Guji Oromo
gay	1	G	map	Austronesian
gay	2	G	poz	Malayo-Polynesian
gay	3	I	gay	Gayo
gaz	1	G	afa	Afro-Asiatic
gaz	2	G	cus	Cushitic
gaz	3	M	orm	Oromo
gaz	4	I	gaz	West Central Oromo
gbb	1	G	aus	Australian
gbb	2	I	gbb	Kaytetye
gbc	1	G	aus	Australian
gbc	2	I	gbc	Garawa
gbd	1	G	aus	Australian
gbd	2	I	gbd	Karadjeri
gbe	1	G	paa	Papuan
gbe	2	I	gbe	Niksek
gbf	1	G	paa	Papuan
gbf	2	I	gbf	Gaikundi
gbg	1	G	nic	Niger-Kordofanian
gbg	2	G	alv	Atlantic-Congo
gbg	3	I	gbg	Gbanziri
gbh	1	G	nic	Niger-Kordofanian
gbh	2	G	alv	Atlantic-Congo
gbh	3	I	gbh	Defi Gbe
gbi	1	G	paa	Papuan
gbi	2	I	gbi	Galela
gbj	1	G	aav	Austro-Asiatic
gbj	2	G	mun	Munda
gbj	3	I	gbj	Bodo Gadaba
gbk	1	G	ine	Indo-European
gbk	2	G	iir	Indo-Iranian
gbk	3	G	inc	Indic
gbk	4	I	gbk	Gaddi
gbl	1	G	ine	Indo-European
gbl	2	G	iir	Indo-Iranian
gbl	3	G	inc	Indic
gbl	4	I	gbl	Gamit
gbm	1	G	ine	Indo-European
gbm	2	G	iir	Indo-Iranian
gbm	3	G	inc	Indic
gbm	4	I	gbm	Garhwali
gbn	1	G	ssa	Nilo-Saharan
