Language	Level	Type	Code	Name
mnm	3	I	mnm	Mapena
mnn	1	G	aav	Austro-Asiatic
mnn	2	G	mkh	Mon-Khmer
mnn	3	I	mnn	Southern Mnong
mnp	1	G	sit	Sino-Tibetan
mnp	2	M	zho	Chinese
mnp	3	I	mnp	Min Bei Chinese
mnq	1	G	aav	Austro-Asiatic
mnq	2	G	mkh	Mon-Khmer
mnq	3	I	mnq	Minriq
mnr	1	G	nai	North American Indian
mnr	2	G	azc	Uto-Aztecan
mnr	3	I	mnr	Mono (USA)
mns	1	G	urj	Uralic
mns	2	G	fiu	Finno-Ugrian
mns	3	I	mns	Mansi
mnt	1	G	aus	Australian
mnt	2	I	mnt	Maykulan
mnu	1	G	paa	Papuan
mnu	2	G	ngf	Trans-New Guinea
mnu	3	I	mnu	Mer
mnv	1	G	map	Austronesian
mnv	2	G	poz	Malayo-Polynesian
mnv	3	G	pqe	Eastern Malayo-Polynesian
mnv	4	I	mnv	Rennell-Bellona
mnw	1	G	aav	Austro-Asiatic
mnw	2	G	mkh	Mon-Khmer
mnw	3	I	mnw	Mon
mnx	1	G	paa	Papuan
mnx	2	I	mnx	Manikion
mny	1	G	nic	Niger-Kordofanian
mny	2	G	alv	Atlantic-Congo
mny	3	G	bnt	Bantu
mny	4	I	mny	Manyawa
mnz	1	G	paa	Papuan
mnz	2	G	ngf	Trans-New Guinea
mnz	3	I	mnz	Moni
moa	1	G	nic	Niger-Kordofanian
moa	2	G	dmn	Mande
moa	3	I	moa	Mwan
moc	1	G	sai	South American Indian
moc	2	I	moc	Mocoví
mod	1	G	crp	Creoles and pidgins
mod	2	I	mod	Mobilian
moe	1	G	nai	North American Indian
moe	2	G	aql	Algic
moe	3	G	alg	Algonquian
moe	4	I	moe	Montagnais
mof	1	G	nai	North American Indian
mof	2	G	aql	Algic
mof	3	G	alg	Algonquian
mof	4	I	mof	Mohegan-Montauk-Narragansett
mog	1	G	map	Austronesian
mog	2	I	mog	Mongondow
moh	1	G	nai	North American Indian
moh	2	G	iro	Iroquoian
moh	3	I	moh	Mohawk
moi	1	G	nic	Niger-Kordofanian
moi	2	G	alv	Atlantic-Congo
moi	3	I	moi	Mboi
moj	1	G	nic	Niger-Kordofanian
moj	2	G	alv	Atlantic-Congo
moj	3	I	moj	Monzombo
mok	1	G	paa	Papuan
mok	2	G	ngf	Trans-New Guinea
mok	3	I	mok	Morori
mom	1	G	cai	Central American Indian
mom	2	I	mom	Mangue
moo	1	G	aav	Austro-Asiatic
moo	2	G	mkh	Mon-Khmer
moo	3	I	moo	Monom
mop	1	G	cai	Central American Indian
mop	2	G	myn	Mayan
mop	3	I	mop	Mopán Maya
moq	1	G	paa	Papuan
moq	2	G	ngf	Trans-New Guinea
moq	3	I	moq	Mor (Bomberai Peninsula)
mor	1	G	nic	Niger-Kordofanian
mor	2	I	mor	Moro
mot	1	G	sai	South American Indian
mot	2	G	cba	Chibchan
mot	3	I	mot	Barí
mou	1	G	afa	Afro-Asiatic
mou	2	I	mou	Mogum
mov	1	G	nai	North American Indian
mov	2	I	mov	Mohave
mow	1	G	nic	Niger-Kordofanian
mow	2	G	alv	Atlantic-Congo
mow	3	G	bnt	Bantu
mow	4	I	mow	Moi (Congo)
mox	1	G	map	Austronesian
mox	2	G	poz	Malayo-Polynesian
mox	3	G	pqe	Eastern Malayo-Polynesian
mox	4	I	mox	Molima
moy	1	G	afa	Afro-Asiatic
moy	2	I	moy	Shekkacho
moz	1	G	afa	Afro-Asiatic
moz	2	I	moz	Mukulu
mpa	1	G	nic	Niger-Kordofanian
mpa	2	G	alv	Atlantic-Congo
mpa	3	G	bnt	Bantu
mpa	4	I	mpa	Mpoto
mpb	1	G	aus	Australian
mpb	2	I	mpb	Mullukmulluk
mpc	1	G	aus	Australian
mpc	2	I	mpc	Mangarayi
mpd	1	G	sai	South American Indian
mpd	2	I	mpd	Machinere
mpe	1	G	ssa	Nilo-Saharan
mpe	2	I	mpe	Majang
mpf	1	G	cai	Central American Indian
mpf	2	G	myn	Mayan
mpf	3	I	mpf	Tajumulco Mam
mpg	1	G	afa	Afro-Asiatic
mpg	2	I	mpg	Marba
mph	1	G	aus	Australian
mph	2	I	mph	Maung
mpi	1	G	afa	Afro-Asiatic
mpi	2	I	mpi	Mpade
mpj	1	G	aus	Australian
mpj	2	I	mpj	Martu Wangka
mpk	1	G	afa	Afro-Asiatic
mpk	2	I	mpk	Mbara (Chad)
mpl	1	G	map	Austronesian
mpl	2	G	poz	Malayo-Polynesian
mpl	3	G	pqe	Eastern Malayo-Polynesian
mpl	4	I	mpl	Middle Watut
mpm	1	G	cai	Central American Indian
mpm	2	I	mpm	Yosondúa Mixtec
mpn	1	G	map	Austronesian
mpn	2	G	poz	Malayo-Polynesian
mpn	3	G	pqe	Eastern Malayo-Polynesian
mpn	4	I	mpn	Mindiri
mpo	1	G	map	Austronesian
mpo	2	G	poz	Malayo-Polynesian
mpo	3	G	pqe	Eastern Malayo-Polynesian
mpo	4	I	mpo	Miu
mpp	1	G	paa	Papuan
mpp	2	G	ngf	Trans-New Guinea
mpp	3	I	mpp	Migabac
mpq	1	G	sai	South American Indian
